,Date,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-
0,20161025,Kristaps Porziņģis,NYK,32.48,5,13,.385,3,5,.600,3,6,.500,4,3,7,0,1,2,2,5,16,-21
1,20161025,LeBron James,Cle,9.05,3,5,.600,0,2,.000,0,0,0,2,2,4,5,0,0,0,1,6,+6
2,20161025,Kyrie Irving,Cle,9.05,2,7,.286,0,1,.000,1,1,1.000,1,0,1,1,1,0,0,0,5,+6
3,20161025,J.R. Smith,Cle,7.35,2,5,.400,1,3,.333,0,0,0,0,1,1,0,0,0,0,0,5,+3
4,20161025,Kevin Love,Cle,9.39,3,8,.375,1,2,.500,3,5,.600,0,3,3,1,1,0,0,0,10,+9
5,20161025,Tristan Thompson,Cle,11.19,0,1,.000,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,+7
6,20161025,Richard Jefferson,Cle,5.16,1,2,.500,0,1,.000,0,0,0,0,1,1,0,1,0,0,0,2,+5
7,20161025,Mike Dunleavy,Cle,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+7
8,20161025,Channing Frye,Cle,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,+3
9,20161025,Iman Shumpert,Cle,4.16,0,1,.000,0,1,.000,0,0,0,1,0,1,1,0,0,1,1,0,+4
10,20161025,LeBron James,Cle,9.05,3,5,.600,0,2,.000,0,0,0,2,2,4,5,0,0,0,1,6,+6
11,20161025,Kyrie Irving,Cle,9.05,2,7,.286,0,1,.000,1,1,1.000,1,0,1,1,1,0,0,0,5,+6
12,20161025,J.R. Smith,Cle,7.35,2,5,.400,1,3,.333,0,0,0,0,1,1,0,0,0,0,0,5,+3
13,20161025,Kevin Love,Cle,9.39,3,8,.375,1,2,.500,3,5,.600,0,3,3,1,1,0,0,0,10,+9
14,20161025,Tristan Thompson,Cle,11.19,0,1,.000,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,+7
15,20161025,Richard Jefferson,Cle,5.16,1,2,.500,0,1,.000,0,0,0,0,1,1,0,1,0,0,0,2,+5
16,20161025,Mike Dunleavy,Cle,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+7
17,20161025,Channing Frye,Cle,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,+3
18,20161025,Iman Shumpert,Cle,4.16,0,1,.000,0,1,.000,0,0,0,1,0,1,1,0,0,1,1,0,+4
19,20161025,Carmelo Anthony,Cle,30.05,8,18,.444,1,4,.250,2,2,1.000,1,4,5,3,1,0,4,5,19,-19
20,20161025,LeBron James,Cle,9.05,3,5,.600,0,2,.000,0,0,0,2,2,4,5,0,0,0,1,6,+6
21,20161025,Kyrie Irving,Cle,9.05,2,7,.286,0,1,.000,1,1,1.000,1,0,1,1,1,0,0,0,5,+6
22,20161025,J.R. Smith,Cle,7.35,2,5,.400,1,3,.333,0,0,0,0,1,1,0,0,0,0,0,5,+3
23,20161025,Kevin Love,Cle,9.39,3,8,.375,1,2,.500,3,5,.600,0,3,3,1,1,0,0,0,10,+9
24,20161025,Tristan Thompson,Cle,11.19,0,1,.000,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,+7
25,20161025,Richard Jefferson,Cle,5.16,1,2,.500,0,1,.000,0,0,0,0,1,1,0,1,0,0,0,2,+5
26,20161025,Mike Dunleavy,Cle,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+7
27,20161025,Channing Frye,Cle,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,+3
28,20161025,Iman Shumpert,Cle,4.16,0,1,.000,0,1,.000,0,0,0,1,0,1,1,0,0,1,1,0,+4
29,20161025,LeBron James,Cle,9.05,3,5,.600,0,2,.000,0,0,0,2,2,4,5,0,0,0,1,6,+6
30,20161025,Kyrie Irving,Cle,9.05,2,7,.286,0,1,.000,1,1,1.000,1,0,1,1,1,0,0,0,5,+6
31,20161025,J.R. Smith,Cle,7.35,2,5,.400,1,3,.333,0,0,0,0,1,1,0,0,0,0,0,5,+3
32,20161025,Kevin Love,Cle,9.39,3,8,.375,1,2,.500,3,5,.600,0,3,3,1,1,0,0,0,10,+9
33,20161025,Tristan Thompson,Cle,11.19,0,1,.000,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,+7
34,20161025,Richard Jefferson,Cle,5.16,1,2,.500,0,1,.000,0,0,0,0,1,1,0,1,0,0,0,2,+5
35,20161025,Mike Dunleavy,Cle,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+7
36,20161025,Channing Frye,Cle,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,+3
37,20161025,Iman Shumpert,Cle,4.16,0,1,.000,0,1,.000,0,0,0,1,0,1,1,0,0,1,1,0,+4
38,20161025,Derrick Rose,Cle,29.35,7,17,.412,1,2,.500,2,2,1.000,2,1,3,1,0,1,4,1,17,-19
39,20161025,LeBron James,Cle,9.05,3,5,.600,0,2,.000,0,0,0,2,2,4,5,0,0,0,1,6,+6
