"Name","Pos","DraftPosition"
"James Harden","PG/SG",1
"Zach LaVine","PG/SG/SF",1
"Andre Drummond","PF/C",1
"Hassan Whiteside","C",1
"Robert Covington","SF/PF/C",1
"Montrezl Harrell","PF/C",1
"Will Barton","SG/SF",1
"Derrick Favors","PF/C",1
"Derrick Rose","PG/SG",1
"Cameron Johnson","SG/SF",1
"Carmelo Anthony","SF/PF",1
"Maxi Kleber","PF/C",1
"Anthony Davis","PF/C",2
"Zach LaVine","PG/SG/SF",2
"Andre Drummond","PF/C",2
"Hassan Whiteside","C",2
"Robert Covington","SF/PF/C",2
"Al Horford","PF/C",2
"Will Barton","SG/SF",2
"Spencer Dinwiddie","PG",2
"Derrick Rose","PG/SG",2
"Jarrett Culver","PG/SG/SF",2
"Carmelo Anthony","SF/PF",2
"Willie Cauley-Stein","PF/C",2
"Trae Young","PG",3
"Zach LaVine","PG/SG/SF",3
"Andre Drummond","PF/C",3
"Hassan Whiteside","C",3
"Robert Covington","SF/PF/C",3
"Al Horford","PF/C",3
"Will Barton","SG/SF",3
"Spencer Dinwiddie","PG",3
"Derrick Rose","PG/SG",3
"Elfrid Payton","PG",3
"Carmelo Anthony","SF/PF",3
"Willie Cauley-Stein","PF/C",3
"Trae Young","PG",4
"Zach LaVine","PG/SG/SF",4
"Andre Drummond","PF/C",4
"Hassan Whiteside","C",4
"Robert Covington","SF/PF/C",4
"Al Horford","PF/C",4
"Will Barton","SG/SF",4
"Spencer Dinwiddie","PG",4
"Derrick Rose","PG/SG",4
"Elfrid Payton","PG",4
"Carmelo Anthony","SF/PF",4
"Willie Cauley-Stein","PF/C",4
"Trae Young","PG",5
"Ben Simmons","PG",5
"Andre Drummond","PF/C",5
"Hassan Whiteside","C",5
"Robert Covington","SF/PF/C",5
"Al Horford","PF/C",5
"Will Barton","SG/SF",5
"Spencer Dinwiddie","PG",5
"Derrick Rose","PG/SG",5
"Elfrid Payton","PG",5
"Carmelo Anthony","SF/PF",5
"Willie Cauley-Stein","PF/C",5
"Trae Young","PG",6
"Ben Simmons","PG",6
"Andre Drummond","PF/C",6
"Hassan Whiteside","C",6
"Robert Covington","SF/PF/C",6
"Dennis Schroder","PG",6
"Will Barton","SG/SF",6
"Spencer Dinwiddie","PG",6
"Tomas Satoransky","PG/SG",6
"Elfrid Payton","PG",6
"Carmelo Anthony","SF/PF",6
"Willie Cauley-Stein","PF/C",6
"Trae Young","PG",7
"Ben Simmons","PG",7
"Andre Drummond","PF/C",7
"Hassan Whiteside","C",7
"Robert Covington","SF/PF/C",7
"Dennis Schroder","PG",7
"Will Barton","SG/SF",7
"Spencer Dinwiddie","PG",7
"Tomas Satoransky","PG/SG",7
"Elfrid Payton","PG",7
"Carmelo Anthony","SF/PF",7
"Willie Cauley-Stein","PF/C",7
"Trae Young","PG",8
"Ben Simmons","PG",8
"Andre Drummond","PF/C",8
"Hassan Whiteside","C",8
"Robert Covington","SF/PF/C",8
"Marcus Smart","PG/SG",8
"Norman Powell","SG/SF",8
"Spencer Dinwiddie","PG",8
"Donte DiVincenzo","PG/SG",8
"Elfrid Payton","PG",8
"Carmelo Anthony","SF/PF",8
"Josh Hart","SG/SF",8
"Trae Young","PG",9
"Russell Westbrook","PG",9
"Andre Drummond","PF/C",9
"Hassan Whiteside","C",9
"Robert Covington","SF/PF/C",9
"Devonte' Graham","PG/SG",9
"Serge Ibaka","PF/C",9
"Spencer Dinwiddie","PG",9
"Donte DiVincenzo","PG/SG",9
"Elfrid Payton","PG",9
"Carmelo Anthony","SF/PF",9
"Josh Hart","SG/SF",9
"LeBron James","PG/SF/PF",10
"Russell Westbrook","PG",10
"Andre Drummond","PF/C",10
"Hassan Whiteside","C",10
"Robert Covington","SF/PF/C",10
"Devonte' Graham","PG/SG",10
"Serge Ibaka","PF/C",10
"Spencer Dinwiddie","PG",10
"P.J. Tucker","SF/PF/C",10
"Elfrid Payton","PG",10
"Carmelo Anthony","SF/PF",10
"Josh Hart","SG/SF",10
"LeBron James","PG/SF/PF",11
"Russell Westbrook","PG",11
"Andre Drummond","PF/C",11
"Hassan Whiteside","C",11
"Malcolm Brogdon","PG/SG",11
"Devonte' Graham","PG/SG",11
"Serge Ibaka","PF/C",11
"Spencer Dinwiddie","PG",11
"P.J. Tucker","SF/PF/C",11
"Elfrid Payton","PG",11
"Carmelo Anthony","SF/PF",11
"Josh Hart","SG/SF",11
"Kawhi Leonard","SG/SF",12
"Russell Westbrook","PG",12
"Andre Drummond","PF/C",12
"Hassan Whiteside","C",12
"Malcolm Brogdon","PG/SG",12
"Devonte' Graham","PG/SG",12
"Serge Ibaka","PF/C",12
"Brook Lopez","C",12
"P.J. Tucker","SF/PF/C",12
"Elfrid Payton","PG",12
"Carmelo Anthony","SF/PF",12
"Josh Hart","SG/SF",12
"Kawhi Leonard","SG/SF",13
"Russell Westbrook","PG",13
"Andre Drummond","PF/C",13
"Hassan Whiteside","C",13
"Malcolm Brogdon","PG/SG",13
"Devonte' Graham","PG/SG",13
"Serge Ibaka","PF/C",13
"Brook Lopez","C",13
"P.J. Tucker","SF/PF/C",13
"Elfrid Payton","PG",13
"Carmelo Anthony","SF/PF",13
"Josh Hart","SG/SF",13
"Kawhi Leonard","SG/SF",14
"Russell Westbrook","PG",14
"Andre Drummond","PF/C",14
"Hassan Whiteside","C",14
"Malcolm Brogdon","PG/SG",14
"Devonte' Graham","PG/SG",14
"Serge Ibaka","PF/C",14
"Brook Lopez","C",14
"P.J. Tucker","SF/PF/C",14
"Elfrid Payton","PG",14
"Taurean Prince","SF/PF",14
"Kendrick Nunn","PG/SG",14
"Bradley Beal","SG",15
"Russell Westbrook","PG",15
"Kyle Lowry","PG",15
"Hassan Whiteside","C",15
"Malcolm Brogdon","PG/SG",15
"Devonte' Graham","PG/SG",15
"Serge Ibaka","PF/C",15
"Terry Rozier","PG/SG",15
"P.J. Tucker","SF/PF/C",15
"Elfrid Payton","PG",15
"Taurean Prince","SF/PF",15
"Kendrick Nunn","PG/SG",15
"Paul George","SF/PF",16
"Russell Westbrook","PG",16
"Buddy Hield","SG",16
"Hassan Whiteside","C",16
"Malcolm Brogdon","PG/SG",16
"Devonte' Graham","PG/SG",16
"Josh Richardson","SG/SF",16
"Terry Rozier","PG/SG",16
"P.J. Tucker","SF/PF/C",16
"Elfrid Payton","PG",16
"Taurean Prince","SF/PF",16
"Kendrick Nunn","PG/SG",16
